Name,StartAddress,EndAddress,Size
FUN_8002f8f4,0x8002F8F4,0x8002F95B,0x68
FUN_8002f95c,0x8002F95C,0x8002FAFF,0x1A4
FUN_8002fb00,0x8002FB00,0x8002FC2F,0x130
FUN_8002fc30,0x8002FC30,0x8002FCAF,0x80
FUN_8002fcb0,0x8002FCB0,0x8002FD9B,0xEC
FUN_8002fda4,0x8002FDA4,0x8002FE57,0xB4
FUN_8002fe58,0x8002FE58,0x8002FF3F,0xE8
FUN_8002ff40,0x8002FF40,0x8002FF6F,0x30
FUN_8002ff70,0x8002FF70,0x80030307,0x398
FUN_80030308,0x80030308,0x8003042F,0x128
FUN_80030430,0x80030430,0x80030783,0x354
FUN_80030784,0x80030784,0x800309DB,0x258
FUN_800309dc,0x800309DC,0x80030C0B,0x230
FUN_80030c0c,0x80030C0C,0x80030CDB,0xD0
FUN_80030cdc,0x80030CDC,0x80030D13,0x38
FUN_80030d14,0x80030D14,0x80030E77,0x164
FUN_80030e78,0x80030E78,0x800310D7,0x260
FUN_800310d8,0x800310D8,0x8003122B,0x154
FUN_8003122c,0x8003122C,0x800313C7,0x19C
FUN_800313c8,0x800313C8,0x8003149F,0xD8
FUN_800314a0,0x800314A0,0x800315BB,0x11C
FUN_800315bc,0x800315BC,0x8003162F,0x74
FUN_80031630,0x80031630,0x8003176F,0x140
FUN_80031770,0x80031770,0x8003186B,0xFC
FUN_8003186c,0x8003186C,0x80031A0B,0x1A0
FUN_80031a0c,0x80031A0C,0x80031A87,0x7C
FUN_80031a88,0x80031A88,0x80031F47,0x4C0
FUN_80031f48,0x80031F48,0x8003282B,0x8E4
FUN_8003282c,0x8003282C,0x80032BA7,0x37C
FUN_80032ba8,0x80032BA8,0x80032BEF,0x48
FUN_80032bf0,0x80032BF0,0x80033463,0x874
FUN_80033464,0x80033464,0x80033537,0xD4
FUN_80033538,0x80033538,0x80033633,0xFC
FUN_80033634,0x80033634,0x8003376F,0x13C
FUN_80033770,0x80033770,0x800338AB,0x13C
FUN_800338ac,0x800338AC,0x80033953,0xA8
FUN_80033954,0x80033954,0x80033A77,0x124
FUN_80033a78,0x80033A78,0x80033AEF,0x78
FUN_80033af0,0x80033AF0,0x80033C17,0x128
FUN_80033c18,0x80033C18,0x80033DC3,0x1AC
FUN_80033dd4,0x80033DD4,0x8003441F,0x64C
FUN_80034420,0x80034420,0x8003467F,0x260
FUN_80034680,0x80034680,0x800347CF,0x150
FUN_800347d0,0x800347D0,0x80034887,0xB8
FUN_80034888,0x80034888,0x800349C7,0x140
FUN_800349c8,0x800349C8,0x80034A5B,0x94
FUN_80034a5c,0x80034A5C,0x80034AE3,0x88
FUN_80034ae4,0x80034AE4,0x80034B6B,0x88
FUN_80034b6c,0x80034B6C,0x80034C33,0xC8
FUN_80034c34,0x80034C34,0x80034CC7,0x94
FUN_80034cc8,0x80034CC8,0x80034D07,0x40
FUN_80034d08,0x80034D08,0x80034D43,0x3C
FUN_80034d44,0x80034D44,0x80034D7F,0x3C
FUN_80034d80,0x80034D80,0x80034DBF,0x40
FUN_80034dc0,0x80034DC0,0x80035007,0x248
FUN_80035008,0x80035008,0x800351F3,0x1EC
FUN_800351f4,0x800351F4,0x8003525F,0x6C
FUN_80035260,0x80035260,0x80035523,0x2C4
FUN_80035524,0x80035524,0x8003559F,0x7C
FUN_800355a0,0x800355A0,0x8003573B,0x19C
FUN_8003573c,0x8003573C,0x80035787,0x4C
FUN_80035788,0x80035788,0x8003578F,0x8
FUN_80035790,0x80035790,0x800357AF,0x20
FUN_800357b0,0x800357B0,0x80035947,0x198
FUN_80035948,0x80035948,0x8003594F,0x8
FUN_80035950,0x80035950,0x80035983,0x34
FUN_80035984,0x80035984,0x80035D7F,0x3FC
FUN_80035d80,0x80035D80,0x80036007,0x288
FUN_80036008,0x80036008,0x800360D3,0xCC
FUN_800360d4,0x800360D4,0x8003610B,0x38
FUN_8003610c,0x8003610C,0x80036433,0x328
FUN_80036434,0x80036434,0x80036683,0x250
FUN_80036684,0x80036684,0x80036897,0x214
FUN_80036898,0x80036898,0x80036B7F,0x2E8
FUN_80036b80,0x80036B80,0x80036C9F,0x120
FUN_80036ca0,0x80036CA0,0x80036D47,0xA8
FUN_80036d48,0x80036D48,0x80036D87,0x40
FUN_80036d88,0x80036D88,0x8003700F,0x288
FUN_80037010,0x80037010,0x80038ADF,0x1AD0
FUN_80038ae0,0x80038AE0,0x80038BD3,0xF4
