Name,StartAddress,EndAddress,Size
FUN_801e4f84,0x801E4F84,0x801E4F8F,0xC
FUN_801e4f94,0x801E4F94,0x801E4F9F,0xC
FUN_801e4fa4,0x801E4FA4,0x801E5007,0x64
FUN_801e5008,0x801E5008,0x801E504F,0x48
FUN_801e5050,0x801E5050,0x801E51B3,0x164
FUN_801e51b4,0x801E51B4,0x801E52BB,0x108
FUN_801e52bc,0x801E52BC,0x801E52E7,0x2C
FUN_801e52e8,0x801E52E8,0x801E535F,0x78
FUN_801e5360,0x801E5360,0x801E5397,0x38
FUN_801e541c,0x801E541C,0x801E5447,0x2C
FUN_801e5448,0x801E5448,0x801E5453,0xC
FUN_801e5458,0x801E5458,0x801E55AF,0x158
FUN_801e56c4,0x801E56C4,0x801E572F,0x6C
FUN_801e57dc,0x801E57DC,0x801E57EB,0x10
FUN_801e5858,0x801E5858,0x801E58F3,0x9C
FUN_801e58f4,0x801E58F4,0x801E595F,0x6C
FUN_801e5960,0x801E5960,0x801E5A87,0x128
FUN_801e5a88,0x801E5A88,0x801E5B1B,0x94
FUN_801e5b1c,0x801E5B1C,0x801E5B7F,0x64
FUN_801e5b80,0x801E5B80,0x801E5BE3,0x64
FUN_801e5be4,0x801E5BE4,0x801E5CA7,0xC4
FUN_801e5d60,0x801E5D60,0x801E5DF7,0x98
FUN_801e5df8,0x801E5DF8,0x801E5E57,0x60
FUN_801e5e58,0x801E5E58,0x801E5ECB,0x74
FUN_801e5ecc,0x801E5ECC,0x801E5F8F,0xC4
FUN_801e5f90,0x801E5F90,0x801E606B,0xDC
FUN_801e606c,0x801E606C,0x801E60A3,0x38
FUN_801e60a4,0x801E60A4,0x801E6553,0x4B0
FUN_801e6554,0x801E6554,0x801E658B,0x38
FUN_801e658c,0x801E658C,0x801E65BF,0x34
FUN_801e65c0,0x801E65C0,0x801E65FB,0x3C
FUN_801e65fc,0x801E65FC,0x801E667F,0x84
FUN_801e6680,0x801E6680,0x801E66C3,0x44
FUN_801e66ec,0x801E66EC,0x801E6743,0x58
FUN_801e6744,0x801E6744,0x801E69E7,0x2A4
FUN_801e69e8,0x801E69E8,0x801E6A43,0x5C
FUN_801e6a44,0x801E6A44,0x801E6B0F,0xCC
FUN_801e6b10,0x801E6B10,0x801E6BDB,0xCC
FUN_801e6bdc,0x801E6BDC,0x801E6C23,0x48
FUN_801e6c24,0x801E6C24,0x801E6CA7,0x84
FUN_801e6ca8,0x801E6CA8,0x801E6D63,0xBC
FUN_801e6d64,0x801E6D64,0x801E6D7B,0x18
FUN_801e6d7c,0x801E6D7C,0x801E6E63,0xE8
FUN_801e6e64,0x801E6E64,0x801E707B,0x218
FUN_801e707c,0x801E707C,0x801E72CF,0x254
FUN_801e72d0,0x801E72D0,0x801E756B,0x29C
FUN_801e756c,0x801E756C,0x801E7593,0x28
FUN_801e75a8,0x801E75A8,0x801E75F7,0x50
FUN_801e75f8,0x801E75F8,0x801E7643,0x4C
FUN_801e7644,0x801E7644,0x801E7673,0x30
FUN_801e7674,0x801E7674,0x801E7697,0x24
